id,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
ENSMUSG00000031586,2.344287468,2.75132677,2.869829929,3.006914418,2.846258585,2.827938859,2.131315226,2.142785017,1.972869687
ENSMUSG00000020689,2.595687627,2.106959888,2.371913942,2.103144603,2.204579641,1.952766025,2.977019527,3.068981104,3.09057777
ENSMUSG00000046994,3.052691762,2.808661806,3.269596226,2.759050027,2.756701251,2.978543367,3.009442519,3.042768644,2.988687197
ENSMUSG00000040836,2.87176942,2.657885021,2.840068136,3.032250944,2.863594339,3.040940533,2.670136443,2.738020974,2.715176959
ENSMUSG00000063275,3.036869624,3.057732281,2.89773144,2.989020044,2.797057089,2.64823787,2.987827485,2.909583128,2.879650247
ENSMUSG00000041135,2.996107106,3.038984354,2.997075084,3.087527493,3.021587866,2.874676408,2.665094176,2.699251087,2.723476342
ENSMUSG00000041147,2.374640822,2.42533523,3.028441465,2.703509033,2.871772193,2.802988596,2.173848939,2.212047614,1.959084195
ENSMUSG00000021947,2.861525379,2.992792166,2.885189782,2.649084161,2.775377964,2.861091683,2.387996387,2.53158534,2.356874303
ENSMUSG00000032044,3.049960839,2.455647552,2.771784484,2.905626774,3.018589563,2.75692257,2.954706927,2.836027644,2.880823985
ENSMUSG00000041696,2.80740575,2.718901222,2.603038516,2.168512842,2.813220178,2.635432169,3.000618291,3.026972863,2.751947413
ENSMUSG00000047606,2.406556012,2.272951578,2.466347106,2.600741351,2.461903911,2.60214599,2.771968227,3.026100455,3.094777131
ENSMUSG00000062961,2.971445172,2.56821985,2.86086718,2.650496857,2.729154163,2.517966432,2.90237217,2.91158968,2.791304308
ENSMUSG00000033970,2.497118044,3.090936819,2.649403277,2.911629241,2.922680879,2.853855047,2.50104456,2.480033085,2.387213156
ENSMUSG00000036111,2.781229339,2.978085943,2.866730265,2.859105416,2.696877298,2.724543535,3.01391933,3.020814088,2.953825929
ENSMUSG00000097343,2.558281037,2.676494718,2.457085599,2.771735062,2.856846623,2.948564113,2.590421799,2.616460755,2.526117952
ENSMUSG00000031887,2.841538461,2.660771282,2.746786769,2.437775675,2.585288994,2.29674974,3.006525203,2.839977793,2.83068617
ENSMUSG00000040350,2.880971842,2.893701876,2.811814223,2.893324628,3.036689903,2.92831,2.89265202,2.775384654,2.551591694
ENSMUSG00000001053,3.009952134,2.532270104,2.715939381,2.84091402,2.698524584,2.487214603,2.91520928,2.979761557,3.088476274
ENSMUSG00000039518,1.612842411,2.032807617,1.719926148,2.616177102,2.585855678,2.688990115,-4.034659133,-4.084711725,-6.44423783
